Name,Year,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Monster Hunter 2,,0.63,0,0,0.63,0
NASCAR 06: Total Team Control,2005,0.63,0.53,0.02,0,0.09
Tony Hawk's Project 8,2006,0.63,0.3,0.23,0.01,0.1
Dogz,2004,0.63,0.45,0.17,0,0.01
Disney Universe,2011,0.63,0.3,0.23,0,0.09
Guitar Hero: Metallica,2009,0.63,0.28,0.24,0,0.1
Iron Man,2008,0.63,0.46,0.09,0,0.09
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,2012,0.63,0,0,0.63,0
Harry Potter and the Half-Blood Prince,2009,0.63,0.21,0.35,0,0.07
A Bug's Life,1998,0.63,0.49,0.13,0,0.01
Super Castlevania IV,1991,0.63,0.32,0.05,0.25,0.01
DJ Hero 2,2010,0.63,0.49,0.09,0,0.04
Angry Birds Trilogy,2012,0.63,0.38,0.2,0,0.05
Condemned 2: Bloodshot,2008,0.63,0.38,0.19,0,0.06
Cabela's Big Game Hunter (2008),2007,0.63,0.58,0,0,0.05
Mobile Suit Z Gundam: AEUG vs. Titans,2003,0.63,0,0,0.63,0
Just Dance 3,2011,0.63,0.33,0.21,0,0.09
Call of Duty: Black Ops,2010,0.63,0.54,0.05,0,0.04
God of War III,2015,0.63,0.23,0.29,0.01,0.1
Ape Escape 2,2002,0.63,0.12,0.09,0.38,0.03
Metroid Prime: Trilogy,2009,0.63,0.43,0.05,0,0.14
X-Man,1982,0.63,0.58,0.04,0,0.01
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,0.63,0.34,0.23,0,0.06
Advance Wars: Days of Ruin,,0.63,0.44,0.13,0,0.06
The Sims 3: Generations,2011,0.63,0.4,0.23,0,0
The Crew,2014,0.63,0.24,0.34,0,0.05
Battle of Giants: Dragons,2009,0.63,0.31,0.25,0,0.06
Dragon Quest Monsters Joker 3,2016,0.63,0,0,0.63,0
Sonic & All-Stars Racing Transformed,2012,0.63,0.2,0.37,0,0.06
Shin Megami Tensei: Persona 3 FES,2007,0.63,0.22,0.2,0.16,0.05
FIFA Soccer 2002,2001,0.63,0.31,0.24,0,0.08
Shin Megami Tensei: Persona 3 Portable,2009,0.63,0.18,0.06,0.34,0.04
Final Fantasy VII International,1997,0.63,0,0,0.59,0.04
Tiger Woods PGA Tour 12: The Masters,2011,0.63,0.4,0.17,0,0.05
Okami,2006,0.63,0.11,0.03,0.15,0.34
NHL 2001,2000,0.63,0.35,0.24,0,0.04
World of Zoo,2009,0.63,0.41,0.16,0,0.05
LEGO Jurassic World,2015,0.63,0.35,0.22,0,0.06
Wet,2009,0.63,0.22,0.27,0.01,0.11
MySims Racing,2009,0.63,0.26,0.29,0,0.07
Buzz Lightyear of Star Command,2000,0.63,0.35,0.24,0,0.04
Namco Museum,2002,0.63,0.48,0.13,0,0.02
Nobunaga no Yabou: Haouden,1993,0.62,0.3,0,0.32,0
Virtua Cop,1995,0.62,0,0,0.62,0
Metal Gear Solid 2: Substance,,0.62,0.38,0.22,0,0.03
Tony Hawk's American Wasteland,2005,0.62,0.4,0.2,0,0.03
WWF in Your House,1996,0.62,0.35,0.24,0,0.04
Prince of Persia: The Forgotten Sands,2010,0.62,0.3,0.26,0,0.06
Vanquish,2010,0.62,0.21,0.22,0.11,0.09
Wild ARMs 3,2002,0.62,0.16,0.13,0.29,0.04
NBA ShootOut '97,1997,0.62,0.35,0.24,0,0.04
Sacred 2: Fallen Angel,2009,0.62,0.22,0.23,0.08,0.09
Madden NFL 07,2006,0.62,0.48,0.13,0,0.02
Far Cry 4,2014,0.62,0.15,0.42,0,0.05
Battlezone,1982,0.62,0.58,0.03,0,0.01
Tiger Woods PGA Tour 2004,2003,0.62,0.47,0.13,0,0.02
LEGO Pirates of the Caribbean: The Video Game,2011,0.62,0.29,0.28,0,0.06
Pro Evolution Soccer 2015,2014,0.62,0.1,0.23,0.22,0.08
Evolve,2015,0.62,0.36,0.2,0,0.06
Tak 2: The Staff of Dreams,2004,0.62,0.3,0.24,0,0.08
Dead Island: Riptide,2013,0.62,0.26,0.2,0.07,0.09
Warriors Orochi 3,2011,0.62,0,0.04,0.57,0.01
Bolt,2008,0.62,0.35,0.21,0,0.06
Viewtiful Joe,2003,0.62,0.38,0.1,0.12,0.02
The Urbz: Sims in the City,2004,0.62,0.37,0.22,0,0.03
Beetle Adventure Racing!,1999,0.62,0.4,0.2,0,0.02
FIFA Soccer,2012,0.62,0.17,0.34,0.02,0.09
Disney's 102 Dalmatians: Puppies to the Rescue,2000,0.62,0.34,0.23,0,0.04
Wipeout: The Game,2010,0.62,0.58,0,0,0.04
Strike Force Bowling,2004,0.62,0.3,0.24,0,0.08
SpongeBob's Atlantis SquarePantis,2007,0.62,0.57,0.01,0,0.04
Metal Gear Solid V: Ground Zeroes,2014,0.62,0.14,0.14,0.27,0.06
Halloween,1982,0.62,0.58,0.03,0,0.01
Dragon Ball Z: Ultimate Tenkaichi,2011,0.62,0.27,0.18,0.09,0.08
WWE SmackDown vs. Raw 2010,2009,0.62,0.25,0.23,0,0.14
Bass Landing,1999,0.62,0.21,0.14,0.23,0.04
XGRA: Extreme G-Racing Association,2004,0.62,0.3,0.24,0,0.08
Mario's Picross,1995,0.62,0,0,0.62,0
Pac-Man Player's Choice Bundle,2003,0.62,0.48,0.12,0,0.02
Rocksmith 2014,2014,0.62,0.34,0.17,0,0.11
Fighters MEGAMiX,1996,0.62,0,0,0.62,0
Bahamut Lagoon,1996,0.62,0,0,0.62,0
Wall-E,2008,0.62,0.29,0.26,0,0.07
Tomb Raider III: Adventures of Lara Croft,1998,0.62,0.59,0.03,0,0
Toshochu: Run for Money,2012,0.62,0,0,0.62,0
Dragon Quest Monsters: Joker 2 Professional,2011,0.62,0,0,0.62,0
NFL Quarterback Club 99,1998,0.62,0.59,0.02,0,0
Super Robot Taisen α Gaiden,2001,0.62,0,0,0.58,0.04
Formula 1: Championship Edition,2006,0.61,0,0.57,0.04,0
Muramasa: The Demon Blade,2009,0.61,0.33,0.13,0.11,0.04
NBA 2K9,2008,0.61,0.56,0,0,0.05
SingStar Singalong With Disney,2008,0.61,0,0.04,0,0.57
NHL 16,2015,0.61,0.35,0.15,0,0.11
Plants vs. Zombies: Garden Warfare,2014,0.61,0.21,0.29,0.01,0.11
NFL Fever 2003,2002,0.61,0.46,0.13,0,0.02
Samurai Warriors 2,2006,0.61,0.02,0.02,0.57,0.01
Dynasty Warriors 8,2013,0.61,0.12,0.11,0.34,0.05
Disney Sing It: Family Hits,2010,0.61,0.39,0.18,0,0.05
2 Games in 1: Sonic Battle & ChuChu Rocket!,2005,0.61,0.44,0.16,0,0.01
Robotech: Battlecry,2002,0.61,0.3,0.23,0,0.08
Dora the Explorer: Super Spies,2004,0.61,0.44,0.16,0,0.01
New Carnival Games,2010,0.61,0.35,0.21,0,0.05
Tony Hawk: RIDE,2009,0.61,0.46,0.1,0,0.05
Just Dance 2014,2013,0.61,0.33,0.23,0,0.05
Cooking Mama 4: Kitchen Magic!,2011,0.61,0.5,0.07,0,0.04
Texas Hold 'Em Poker,2004,0.61,0.44,0.16,0,0.01
Time Crisis 3,2003,0.61,0.3,0.23,0,0.08
Cabela's Monster Buck Hunter,2010,0.61,0.58,0,0,0.03
Ganbaru Watashi no Kakei Diary,2007,0.61,0,0,0.61,0
pro evolution soccer 2011,2010,0.61,0.09,0.44,0,0.07
New Play Control! Donkey Kong Jungle Beat,2008,0.61,0.24,0.17,0.14,0.05
Small Soldiers,1998,0.61,0.34,0.23,0,0.04
Yakuza: Dead Souls,2011,0.61,0.09,0.07,0.42,0.03
Littlest Pet Shop: Garden,2008,0.61,0.31,0.24,0,0.06
Half-Life 2,2005,0.61,0.37,0.21,0,0.03
Duke Nukem: Total Meltdown,1997,0.61,0.34,0.23,0,0.04
Pac-Man Party,2010,0.61,0.47,0.09,0.01,0.04
Jak and Daxter: The Lost Frontier,2009,0.61,0.18,0.27,0,0.15
Major League Baseball 2K8,2008,0.61,0.56,0,0,0.05
SimCity DS,2007,0.61,0.33,0.03,0.21,0.03
Major League Baseball 2K9,2009,0.61,0.56,0,0,0.05
Petz: Dogz Pack,2008,0.61,0.56,0,0,0.05
Split/Second,2010,0.61,0.32,0.23,0,0.06
Final Fantasy IV Advance,2005,0.61,0.27,0.1,0.22,0.01
Madden NFL 2003,2002,0.61,0.44,0.16,0,0.01
Tomb Raider Chronicles,1999,0.61,0.34,0.23,0,0.04
Harry Potter and the Goblet of Fire,2005,0.61,0.44,0.16,0,0.01
Dragon Ball Z: Buu's Fury,2004,0.61,0.44,0.16,0,0.01
Madden NFL 2002,2001,0.61,0.47,0.12,0,0.02
Guitar Hero: Smash Hits,2009,0.61,0.33,0.21,0,0.06
Disney TH!NK Fast: The Ultimate Trivia Showdown,2008,0.61,0.37,0.16,0.01,0.06
Spider-Man: Mysterio's Menace,2001,0.61,0.43,0.16,0,0.01
Madden NFL 2000,1999,0.61,0.58,0.02,0,0
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007,0.61,0.51,0.05,0,0.05
Game & Watch Gallery 4,2002,0.61,0.43,0.16,0,0.01
Littlest Pet Shop: Jungle,2008,0.61,0.34,0.2,0,0.06
Naruto: Ultimate Ninja,2003,0.61,0.5,0.02,0,0.08
Fighters Uncaged,2010,0.61,0.31,0.24,0,0.06
Call of Juarez: Bound in Blood,2009,0.61,0.3,0.24,0,0.06
New Play Control! Pikmin 2,2009,0.6,0.11,0.14,0.33,0.02
Tony Hawk's Underground,2003,0.6,0.43,0.16,0,0.01
Hot Shots Golf: World Invitational,2011,0.6,0.19,0.11,0.25,0.06
Monster Trucks,2004,0.6,0.43,0.16,0,0.01
Shadow The Hedgehog,2005,0.6,0.5,0.02,0,0.08
Wave Race: Blue Storm,2001,0.6,0.4,0.1,0.09,0.02
Backyard Wrestling: Don't Try This at Home,2003,0.6,0.3,0.23,0,0.08
Fight Night Round 2,2005,0.6,0.42,0.16,0,0.02
MonHun Nikki: Poka Poka Ailu Mura,2010,0.6,0,0,0.6,0
The Golden Compass,2007,0.6,0.28,0.25,0,0.06
NBA 2K8,2007,0.6,0.5,0.02,0,0.08
Phineas and Ferb: Across the 2nd Dimension,2011,0.6,0.36,0.19,0,0.05
Disney Infinity,2013,0.6,0.33,0.22,0,0.05
The Golden Compass,,0.6,0.26,0.28,0,0.07
WarioWare D.I.Y.,2009,0.6,0.18,0.19,0.2,0.04
Tony Hawk: RIDE,2009,0.6,0.38,0.15,0,0.08
LEGO Jurassic World,2015,0.6,0.31,0.22,0.03,0.05
Alice: Madness Returns,2011,0.6,0.22,0.25,0.04,0.09
LEGO The Hobbit,2014,0.6,0.12,0.37,0,0.1
Suikoden,1995,0.6,0.21,0.14,0.21,0.04
Secret Agent Clank,2009,0.6,0.13,0.18,0,0.29
Rayman Arena,2001,0.6,0.29,0.23,0,0.08
Avatar: The Game,2009,0.6,0.22,0.24,0,0.14
Jaws Unleashed,2006,0.6,0.5,0.02,0,0.08
Puyo Puyo Sun,1997,0.6,0,0,0.6,0
Half-Life,2001,0.6,0.29,0.23,0,0.08
Tomb Raider (2013),2014,0.6,0.34,0.21,0,0.05
Mickey's Speedway USA,2000,0.6,0.37,0.08,0.14,0.01
International Superstar Soccer 64,1997,0.6,0.09,0.26,0.23,0.02
Skylanders SWAP Force,2013,0.6,0.4,0.15,0,0.06
NASCAR Heat 2002,2001,0.6,0.29,0.23,0,0.08
Disney Sing It! High School Musical 3: Senior Year,2008,0.6,0.32,0.23,0,0.04
From TV Animation One Piece: Grand Battle 2,2002,0.6,0,0,0.56,0.04
BeatMania Append 3rdMix,1998,0.6,0,0,0.56,0.04
PGR3 - Project Gotham Racing 3,2005,0.6,0.49,0.03,0.03,0.05
XCOM: Enemy Unknown,2012,0.6,0.24,0.25,0,0.11
Blur,2010,0.6,0.25,0.28,0,0.06
Xena: Warrior Princess,1998,0.6,0.33,0.23,0,0.04
Scribblenauts: Unlimited,2012,0.6,0.55,0.01,0,0.04
Front Mission,1995,0.6,0,0,0.6,0
NHL 11,2010,0.6,0.4,0.13,0,0.07
Kinect Rush: A Disney Pixar Adventure,2012,0.6,0.38,0.16,0,0.05
Monopoly,2008,0.6,0.34,0.2,0,0.06
Disney Infinity 2.0: Marvel Super Heroes,2014,0.6,0.26,0.24,0,0.1
Major League Baseball 2K7,2007,0.6,0.29,0.23,0,0.08
Asphalt: Urban GT,2004,0.6,0.31,0.22,0,0.06
The Fight: Lights Out,2010,0.6,0.29,0.22,0,0.09
Dai-2-Ji Super Robot Taisen α,2003,0.6,0,0,0.6,0
Pokemon Trozei!,2005,0.6,0.26,0,0.31,0.02
Dead Space,2008,0.59,0,0.53,0,0.06
Hot Wheels: Stunt Track Challenge,2004,0.59,0.29,0.23,0,0.08
Rayman Origins,2012,0.59,0.13,0.35,0,0.11
London 2012: The Official Video Game of the Olympic Games,2012,0.59,0.07,0.46,0,0.07
Beijing 2008,2008,0.59,0.15,0.38,0,0.07
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,2005,0.59,0,0,0.59,0
Jeopardy!,2010,0.59,0.56,0,0,0.03
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,1997,0.59,0,0,0.56,0.04
Assassin's Creed: Brotherhood,2011,0.59,0.15,0.34,0,0.1
CyberTiger,1998,0.59,0.33,0.22,0,0.04
Jampack Fall 2001,2001,0.59,0.33,0.22,0,0.04
Medal of Honor: Frontline,2002,0.59,0.46,0.12,0,0.02
Final Fantasy: The 4 Heroes of Light,2009,0.59,0.23,0.11,0.23,0.03
Iron Man,2008,0.59,0.31,0.22,0,0.06
Kane & Lynch 2: Dog Days,2010,0.59,0.17,0.28,0.05,0.1
NFL Blitz 2001,2000,0.59,0.33,0.22,0,0.04
Total War: Shogun 2,2011,0.59,0.19,0.31,0,0.09
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,1998,0.59,0,0,0.55,0.04
Rock Band 2,2008,0.59,0.29,0.23,0,0.08
Yakuza 5,2012,0.59,0,0,0.59,0
LEGO Indiana Jones 2: The Adventure Continues,2009,0.59,0.21,0.24,0,0.14
BurgerTime,1981,0.59,0.55,0.03,0,0.01
Naruto: The Broken Bond,2008,0.59,0.24,0.28,0,0.07
2002 FIFA World Cup,2002,0.59,0.21,0.17,0.16,0.06
MVP Baseball 2004,2004,0.59,0.44,0.13,0,0.02
Crash Bandicoot: The Wrath of Cortex,2002,0.59,0.46,0.12,0,0.02
Smurf: Rescue In Gargamel's Castle,1981,0.59,0.55,0.03,0,0.01
Spelling Challenges and more!,2007,0.59,0.54,0,0,0.04
Go Diego Go! Great Dinosaur Rescue,2008,0.59,0.53,0.02,0,0.04
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007,0.59,0.52,0.03,0,0.04
Extreme-G,1997,0.59,0.47,0.11,0,0.01
Ready 2 Rumble Boxing,1999,0.59,0.47,0.11,0,0.01
Payday 2,2013,0.59,0.33,0.21,0,0.05
Dead or Alive Xtreme Beach Volleyball,2003,0.59,0.36,0.08,0.14,0.02
Tales of Rebirth,2004,0.59,0,0,0.59,0
SoulCalibur V,2012,0.59,0.39,0.14,0.02,0.04
NHL 12,2011,0.59,0.36,0.16,0,0.07
Tales of Zestiria,2015,0.59,0.05,0.09,0.42,0.03
Silent Hill: Shattered Memories,2010,0.59,0.13,0.22,0.01,0.23
Madden NFL 06,,0.59,0.54,0,0.01,0.03
Skate it,2008,0.59,0.51,0.04,0,0.05
Game Party in Motion,2010,0.59,0.36,0.18,0,0.05
Barbie: Race & Ride,1999,0.59,0.33,0.22,0,0.04
Lost: Via Domus,2008,0.59,0.18,0.34,0,0.07
Mega Man Anniversary Collection,2004,0.59,0.29,0.22,0,0.08
Final Fantasy Anniversary Edition,2007,0.59,0.39,0.02,0.13,0.04
Dark Souls II,2015,0.59,0.2,0.22,0.08,0.08
Ben 10: Alien Force,2008,0.59,0.35,0.14,0,0.1
Deus Ex: Human Revolution,2011,0.59,0.25,0.25,0,0.09
Zumba Fitness,2010,0.59,0.28,0.21,0,0.09
Harvest Moon: Friends of Mineral Town,2003,0.59,0.34,0.13,0.11,0.01
Backyard NBA Basketball,2003,0.59,0.29,0.22,0,0.07
FIFA Soccer 10,2009,0.59,0.14,0.37,0,0.07
Kirby's Dream Course,1994,0.59,0,0,0.59,0
Doom 3 BFG Edition,2012,0.59,0.26,0.22,0,0.1
Mega Man X7,2003,0.58,0.22,0.17,0.14,0.06
Top Spin 3,2008,0.58,0.15,0.37,0,0.07
Petz Dogz 2,2007,0.58,0.53,0.01,0,0.04
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,2008,0.58,0.29,0.22,0,0.07
The Conduit,2009,0.58,0.29,0.23,0,0.06
Just Dance 2016,2015,0.58,0.28,0.25,0,0.05
Tokimeki Memorial: Forever with You,1995,0.58,0,0,0.55,0.04
Diablo,1997,0.58,0.29,0.19,0.07,0.04
Cabela's Dangerous Hunts 2011,2010,0.58,0.53,0.02,0,0.04
NHL 15,2014,0.58,0.3,0.18,0,0.1
Q*bert,1982,0.58,0.55,0.03,0,0.01
Romancing SaGa,2005,0.58,0.06,0.04,0.47,0.01
The Lord of the Rings: The Third Age,2004,0.58,0.49,0.02,0,0.08
Harvest Moon: Sunshine Islands,2008,0.58,0.35,0.03,0.17,0.03
Trivial Pursuit,2009,0.58,0.21,0.31,0,0.07
The Legend of Spyro: Dawn of the Dragon,2008,0.58,0.35,0.18,0,0.05
The Sims 3: World Adventures,2009,0.58,0.02,0.18,0,0.39
Kinect Sports Rivals,2014,0.58,0.3,0.22,0.02,0.04
Rayman Origins,2011,0.58,0.23,0.29,0,0.07
WWE 2K16,2015,0.58,0.31,0.22,0,0.05
Titanfall,2014,0.58,0.21,0.3,0,0.07
NCAA Football 09,2008,0.58,0.54,0,0,0.04
Tom Clancy's HAWX,2009,0.58,0.31,0.19,0.02,0.06
Sammy Sosa High Heat Baseball 2001,2000,0.58,0.32,0.22,0,0.04
Frozen: Olaf's Quest,2013,0.58,0.27,0.26,0,0.05
Terminator 3: Rise of the Machines,2003,0.58,0.28,0.22,0,0.07
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",2010,0.58,0.37,0.15,0,0.05
Harvest Moon: The Tale of Two Towns,2010,0.58,0.27,0.06,0.22,0.03
FIFA: Road to  World Cup 98,1997,0.58,0.15,0.39,0,0.03
World Cup 98,1998,0.58,0.14,0.4,0,0.04
International Superstar Soccer '98,1998,0.58,0.06,0.3,0.19,0.03
NASCAR: Dirt to Daytona,,0.58,0.28,0.22,0,0.07
Unreal Tournament,2000,0.58,0.28,0.22,0,0.07
Digimon World 2,2000,0.58,0.23,0.16,0.16,0.04
Tales of Phantasia,1998,0.58,0,0,0.54,0.04
Prince of Persia: The Two Thrones,2005,0.58,0.33,0.22,0,0.03
Xenosaga Episode II: Jenseits von Gut und Böse,2004,0.58,0.28,0.22,0,0.07
Gex: Enter the Gecko,1998,0.58,0.32,0.22,0,0.04
Shrek 2: Beg for Mercy,2004,0.58,0.42,0.15,0,0.01
Mega Man Star Force 2: Zerker x Ninja / Saurian,2007,0.58,0.25,0,0.31,0.02
JoJo's Bizarre Adventure: All Star Battle,2013,0.58,0.05,0.02,0.5,0.01
Petz Nursery,2009,0.58,0.53,0,0,0.04
Contra: Shattered Soldier,2002,0.58,0.28,0.22,0,0.07
Championship Motocross featuring Ricky Carmichael,1998,0.58,0.32,0.22,0,0.04
Dragon Ball Z: Chou Saiya Densetsu,1992,0.58,0,0,0.58,0
NBA 2K7,2006,0.58,0.53,0,0,0.04
WWE 2K16,2015,0.58,0.21,0.27,0,0.09
Phoenix Wright: Ace Attorney - Justice for All,2006,0.58,0.24,0.05,0.26,0.03
Fire Emblem: Seisen no Keifu,1996,0.58,0,0,0.58,0
Rock Band 3,2010,0.58,0.43,0.09,0,0.06
Disgaea 4: A Promise Unforgotten,2011,0.58,0.27,0.11,0.14,0.06
BlazBlue: Calamity Trigger,2009,0.58,0.36,0.1,0.06,0.06
Tenchu 2: Birth of the Stealth Assassins,2000,0.58,0.32,0.22,0,0.04
Tony Hawk's Pro Skater 4,2002,0.58,0.45,0.12,0,0.02
MLB 11: The Show,2011,0.58,0.54,0,0,0.04
Naruto: Uzumaki Chronicles 2,2006,0.58,0.28,0.22,0,0.07
NHL 06,2005,0.58,0.48,0.02,0,0.08
NHL 10,2009,0.58,0.38,0.12,0,0.07
Rooms: The Main Building,2010,0.58,0.1,0.41,0.01,0.06
Rapala: We Fish,2009,0.58,0.52,0.02,0,0.04
Parasite Eve II,1999,0.58,0.32,0.22,0,0.04
Tetris Party Deluxe,2010,0.58,0.34,0.17,0.02,0.05
NFL Blitz 2000,1999,0.58,0.55,0.02,0,0
Ratchet & Clank: Quest for Booty,2008,0.58,0,0.53,0,0.04
Madden NFL 2002,,0.58,0.53,0.02,0,0.03
NCAA Football 10,2009,0.58,0.28,0.22,0,0.07
Top Spin 3,2008,0.57,0.08,0.37,0,0.12
Shin Megami Tensei IV,2013,0.57,0.28,0,0.27,0.02
Theme Park,1994,0.57,0.24,0.16,0.13,0.04
Blacksite: Area 51,2007,0.57,0.29,0.23,0,0.06
Spider-Man 3,2007,0.57,0.49,0.04,0,0.04
ATV Offroad Fury: Blazin' Trails,2005,0.57,0.53,0,0,0.04
Far Cry Instincts,2005,0.57,0.32,0.24,0,0.02
Hasbro Family Game Night,2008,0.57,0.28,0.22,0,0.07
Tony Hawk's Pro Skater 4,2002,0.57,0.41,0.15,0,0.01
Up,2009,0.57,0.23,0.28,0,0.06
Tales of the Abyss,2005,0.57,0,0,0.57,0
Disney Universe,2011,0.57,0.37,0.15,0,0.05
Iron Man,2008,0.57,0.27,0.24,0,0.06
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,2000,0.57,0,0,0.54,0.04
Spyro Orange: The Cortex Conspiracy,2004,0.57,0.41,0.15,0,0.01
Enslaved: Odyssey to the West,2010,0.57,0.24,0.24,0.01,0.09
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,2008,0.57,0.53,0,0,0.04
Beyond The Beyond,1995,0.57,0.11,0.08,0.35,0.04
Ben 10: Alien Force,2008,0.57,0.22,0.02,0,0.33
Tomb Raider: Anniversary,2007,0.57,0.21,0.23,0,0.13
"Warhammer 40,000: Space Marine",2011,0.57,0.25,0.27,0,0.06
Madden NFL 06,2005,0.57,0.44,0.11,0,0.02
No More Heroes,2007,0.57,0.3,0.17,0.04,0.05
Assassin's Creed II,2010,0.57,0.01,0.45,0,0.11
Petz Wild Animals: Tigerz,2008,0.57,0.52,0.01,0,0.04
Naruto: Ultimate Ninja 2,2004,0.57,0.47,0.02,0,0.08
Defiance,2013,0.57,0.38,0.15,0,0.04
Dogz,2006,0.57,0.51,0.02,0,0.04
3D Dot Game Heroes,2009,0.57,0.36,0.12,0.03,0.07
The Mysterious Murasame Castle,1986,0.57,0,0,0.57,0
NBA Hangtime,1997,0.57,0.48,0.08,0,0
Jillian Michaels Fitness Ultimatum 2010,2009,0.57,0.52,0.01,0,0.04
Pro Evolution Soccer 2012,2011,0.57,0.1,0.12,0.29,0.07
Grease,2010,0.57,0.27,0.25,0,0.05
Blood Wake,2001,0.57,0.43,0.12,0,0.02
Dynasty Warriors 5: Xtreme Legends,2005,0.57,0.11,0.08,0.35,0.03
Skylanders: Spyro's Adventure,2011,0.57,0.32,0.2,0,0.05
Dora The Explorer: Dora Saves the Snow Princess,2008,0.57,0.5,0.03,0,0.04
Jampack Summer 2002,2002,0.57,0.28,0.22,0,0.07
FIFA World Cup Germany 2006,2006,0.57,0.47,0.02,0,0.08
Wreckless: ThE YaKuza MisSiOns,2002,0.57,0.42,0.11,0.02,0.02
Super Bomberman,1992,0.57,0,0,0.57,0
SpongeBob SquarePants: Battle for Bikini Bottom,2003,0.57,0.45,0.1,0,0.02
Spec Ops: The Line,2012,0.57,0.19,0.25,0.04,0.09
SD Gundam G Generation Neo,2002,0.57,0,0,0.57,0
Bratz 4 Real,2007,0.57,0.29,0.22,0,0.06
RalliSport Challenge,2002,0.57,0.39,0.16,0,0.02
Resident Evil Outbreak File #2,2004,0.57,0.19,0.15,0.17,0.05
Bob the Builder: Can We Fix It?,2000,0.57,0.31,0.21,0,0.04
XIII,2003,0.57,0.28,0.22,0,0.07
NHL 14,2013,0.57,0.28,0.19,0,0.09
LEGO Rock Band,2009,0.57,0.4,0.12,0,0.05
Bolt,2008,0.57,0.19,0.31,0,0.06
Top Spin 3,2008,0.57,0.09,0.4,0,0.07
Tom Clancy's HAWX,2009,0.57,0.21,0.22,0.05,0.09
LEGO Dimensions,2015,0.56,0.24,0.28,0,0.05
Breath of Fire IV,2000,0.56,0.11,0.08,0.34,0.04
True Crime: Streets of LA,2003,0.56,0.44,0.11,0,0.02
Odin Sphere,2007,0.56,0.23,0.18,0.09,0.06
Donkey Kong Jungle Climber,2007,0.56,0.26,0.04,0.24,0.03
The Incredible Hulk,2003,0.56,0.4,0.15,0,0.01
Ms. Pac-Man Maze Madness,2004,0.56,0.4,0.15,0,0.01
Arena Football,2006,0.56,0.28,0.22,0,0.07
The Lord of the Rings: The Return of the King,2003,0.56,0.4,0.15,0,0.01
NHL Hitz 20-02,2001,0.56,0.28,0.22,0,0.07
Classic NES Series: Dr. Mario,2004,0.56,0.31,0.11,0.13,0.01
The Sims: Bustin' Out,2003,0.56,0.4,0.14,0,0.02
NCAA March Madness 07,2007,0.56,0.28,0.22,0,0.07
"Monsters, Inc. Scream Team",2001,0.56,0.31,0.21,0,0.04
Harry Potter Collection,2006,0.56,0.28,0.21,0,0.07
Tony Hawk's Project 8,2006,0.56,0.41,0.08,0,0.07
Yu-Gi-Oh! World Championship Tournament 2004,2004,0.56,0.4,0.15,0,0.01
Cabela's Big Game Hunter 2005 Adventures,2004,0.56,0.28,0.21,0,0.07
Hotel Dusk: Room 215,2007,0.56,0.27,0.05,0.22,0.03
Knockout Kings 2001,2001,0.56,0.28,0.21,0,0.07
Army Men: Sarge's Heroes,1999,0.56,0.31,0.21,0,0.04
Phineas and Ferb: Across the 2nd Dimension,2011,0.56,0.32,0.19,0,0.05
Petz Dogz 2,2007,0.56,0.28,0.21,0,0.07
Battlefield 2: Modern Combat,2005,0.56,0.39,0.15,0,0.02
Wolfenstein,2009,0.56,0.28,0.22,0,0.06
All-Star Baseball 2002,2001,0.56,0.27,0.21,0,0.07
Backyard NFL Football,2002,0.56,0.4,0.15,0,0.01
Need for Speed: Most Wanted,2005,0.56,0.43,0.11,0,0.02
NASCAR Rumble,2000,0.56,0.31,0.21,0,0.04
Tony Hawk: Shred,2010,0.56,0.41,0.11,0,0.04
Tony Hawk's Proving Ground,2007,0.56,0.49,0.02,0,0.04
WWE Raw 2,2003,0.56,0.43,0.11,0,0.02
Resident Evil 2,1999,0.56,0.39,0.09,0.07,0.01
Mega Man X2,1993,0.56,0.09,0.02,0.45,0
Manhunt 2,2007,0.56,0.27,0.21,0,0.07
Xenoblade Chronicles,2015,0.56,0.26,0.14,0.12,0.04
Fullmetal Alchemist and the Broken Angel,2003,0.56,0.15,0.12,0.26,0.04
Monster High: Ghoul Spirit,2011,0.56,0.44,0.08,0,0.04
Final Fantasy IV: The Complete Collection,2011,0.56,0.13,0.09,0.27,0.06
Frontlines: Fuel of War,2008,0.56,0.34,0.15,0.01,0.05
Lips: Number One Hits,2009,0.56,0.15,0.35,0,0.07
Hamtaro: Ham-Hams Unite!,2001,0.56,0,0,0.56,0
Batman Begins,2005,0.56,0.27,0.21,0,0.07
Viva Pinata: Pocket Paradise,2008,0.56,0.27,0.23,0,0.06
Dr. Seuss' The Cat in the Hat,2003,0.56,0.27,0.21,0,0.07
